source_tab,date_collected,hour_run,act_amount_mean
Renewable Load,2025-08-04,0,1.0
Peak Load,2025-08-04,0,65.0
Base Load,2025-08-04,0,957.0
VPP Discharge,2025-08-04,0,5.0
VPP Discharge,2025-08-04,1,4.0
Peak Load,2025-08-04,1,55.0
Renewable Load,2025-08-04,1,2.0
Base Load,2025-08-04,1,954.0
Peak Load,2025-08-04,2,43.0
VPP Discharge,2025-08-04,2,3.0
Base Load,2025-08-04,2,946.0
Renewable Load,2025-08-04,2,2.0
Renewable Load,2025-08-04,3,3.0
Peak Load,2025-08-04,3,50.0
Base Load,2025-08-04,3,937.0
VPP Discharge,2025-08-04,3,3.0
VPP Discharge,2025-08-04,4,2.0
Peak Load,2025-08-04,4,36.0
Renewable Load,2025-08-04,4,2.0
Base Load,2025-08-04,4,925.0
VPP Discharge,2025-08-04,5,2.0
Renewable Load,2025-08-04,5,4.0
Base Load,2025-08-04,5,936.0
Peak Load,2025-08-04,5,49.0
Peak Load,2025-08-04,6,47.0
Renewable Load,2025-08-04,6,3.0
Base Load,2025-08-04,6,938.0
VPP Discharge,2025-08-04,6,2.0
Base Load,2025-08-04,7,939.0
Renewable Load,2025-08-04,7,5.0
Peak Load,2025-08-04,7,44.0
Peak Load,2025-08-04,8,38.0
Renewable Load,2025-08-04,8,11.0
Base Load,2025-08-04,8,939.0
Peak Load,2025-08-04,9,32.0
Renewable Load,2025-08-04,9,24.0
Base Load,2025-08-04,9,932.0
Renewable Load,2025-08-04,10,33.0
Base Load,2025-08-04,10,928.0
Peak Load,2025-08-04,10,26.0
Renewable Load,2025-08-04,11,37.0
Base Load,2025-08-04,11,929.0
Peak Load,2025-08-04,11,22.0
Base Load,2025-08-04,12,930.0
Renewable Load,2025-08-04,12,52.0
Peak Load,2025-08-04,12,28.0
Base Load,2025-08-04,13,924.0
Peak Load,2025-08-04,13,15.0
Renewable Load,2025-08-04,13,34.0
Peak Load,2025-08-04,14,36.0
Base Load,2025-08-04,14,938.0
Renewable Load,2025-08-04,14,51.0
Base Load,2025-08-04,15,951.0
Peak Load,2025-08-04,15,42.0
Renewable Load,2025-08-04,15,43.0
Renewable Load,2025-08-04,16,33.0
Base Load,2025-08-04,16,965.0
Peak Load,2025-08-04,16,66.0
Peak Load,2025-08-04,17,92.0
Renewable Load,2025-08-04,17,29.0
Base Load,2025-08-04,17,991.0
Peak Load,2025-08-04,18,94.0
Base Load,2025-08-04,18,996.0
Renewable Load,2025-08-04,18,14.0
VPP Discharge,2025-08-04,18,8.0
Base Load,2025-08-04,19,1012.0
Renewable Load,2025-08-04,19,13.0
Peak Load,2025-08-04,19,115.0
VPP Discharge,2025-08-04,19,38.0
Renewable Load,2025-08-04,20,7.0
VPP Discharge,2025-08-04,20,44.0
Peak Load,2025-08-04,20,99.0
Base Load,2025-08-04,20,1020.0
Base Load,2025-08-04,21,1025.0
Renewable Load,2025-08-04,21,6.0
VPP Discharge,2025-08-04,21,45.0
Peak Load,2025-08-04,21,106.0
VPP Discharge,2025-08-04,22,44.0
Base Load,2025-08-04,22,1006.0
Peak Load,2025-08-04,22,88.0
Renewable Load,2025-08-04,22,2.0
Peak Load,2025-08-04,23,96.0
Renewable Load,2025-08-04,23,1.0
VPP Discharge,2025-08-04,23,14.0
Base Load,2025-08-04,23,987.0
